Year;LTE;Teatment;Temperature (?C);TONgkg;Cgkg;MolarCN;F14C;err ;d14C
1988;M6-1957;211;400;0.551006417;2.4744;5.23914044;;;
1991;M2-1957;211;400;0.4708077;1.705;4.225008782;;;
1991;M4-1957;211;400;0.302310029;1.433;5.530194735;;;
1991;M6-1957;211;400;0.509900998;2.455;5.617103473;;;
1999;M2-1957;211;400;0.471806903;1.8226;4.506857894;;;
1999;M4-1957;211;400;0.323414644;1.3685;4.936645156;;;
1999;M6-1957;211;400;0.524108227;2.3362;5.200389013;0.7211;0.0031;-285.4
2003;M2-1957;211;400;0.453602386;1.6919;4.351571763;;;
2003;M4-1957;211;400;0.319424715;1.3074;4.775147098;;;
2003;M6-1957;211;400;0.477703175;2.1201;5.177796865;;;
2007;M2-1957;211;400;0.452404743;1.7026;4.390684883;;;
2007;M4-1957;211;400;0.316619048;1.5836;5.835193262;0.4903;0.0025;-514.1
2007;M6-1957;211;400;0.36311784;1.8596;5.974736283;;;
2011;M2-1957;211;400;0.400324184;1.6027;4.670756203;;;
2011;M6-1957;211;400;0.439410895;2.0978;5.569805759;;;
2015;M2-1957;211;400;0.424512027;2.099;5.768584108;0.6773;0.0028;-328.8
2015;M6-1957;211;400;0.496507143;3.0669;7.206442146;0.6426;0.0022;-363.2
2019;M2-1957;211;400;0.430005556;2.1008;5.699771321;;;
2010;M4-1957;211;400;0.322509756;1.4883;5.383868138;;;
2019;M6-1957;211;400;0.507400998;2.7519;6.32744124;0.7902;0.0026;-217
1971;R94-1966;211;400;0.689711816;2.5657;4.339952715;0.8418;0.0027;-165.8
1957;M2-1957;211;325;1.461717225;8.0298;6.408968739;1.1967;0.0018;185.7
1957;M4-1957;211;325;0.909610136;6.204;7.957255213;0.6911;0.003;-315.2
1957;M6-1957;211;325;1.623105929;9.5118;6.836953647;0.8106;0.0015;-196.8
1962;M2-1957;211;325;1.395326934;7.21;6.028455741;0.9052;0.0019;-103
1962;M4-1957;211;325;0.760020154;4.7389;7.274434291;0.7509;0.0034;-255.9
1962;M6-1957;211;325;1.496602488;9.536;7.433726341;;;
1966;M2-1957;211;325;1.482015973;7.3246;5.766042217;0.9581;0.002;-50.5
1966;M4-1957;211;325;0.725608983;4.2692;6.864211233;0.7765;0.0032;-230.5
1966;M6-1957;211;325;1.443610609;8.9057;7.197220129;0.8344;0.0015;-173.3
1971;M2-1957;211;325;1.457907616;7.1918;5.755120036;0.955;0.0018;-53.7
1971;M4-1957;211;325;0.8007005;4.7777;6.961383609;0.7031;0.0031;-303.2
1971;M6-1957;211;325;1.475113619;9.549;7.552299605;0.8561;0.0017;-151.7
1976;M2-1957;211;325;1.364421928;6.5632;5.611949287;0.9774;0.002;-31.5
1976;M4-1957;211;325;0.73260199;4.0296;6.417126986;0.7323;0.0029;-274.3
1976;M6-1957;211;325;1.426708358;8.8787;7.260406989;0.8468;0.0015;-161
1980;M2-1957;211;325;1.293405561;6.4074;5.779548368;0.9729;0.0019;-35.9
1980;M4-1957;211;325;0.7297;4.1003;6.555684985;0.691;0.0027;-315.3
1980;M6-1957;211;325;1.380911765;8.6248;7.28668328;0.8996;0.0019;-108.5
1984;M2-1957;211;325;1.031431818;5.4188;6.129278952;0.9813;0.0031;-27.5
1984;M4-1957;211;325;0.65211349;3.984;7.127593698;0.6724;0.003;-333.7
1984;M6-1957;211;325;1.351504762;8.8788;7.664493897;0.8825;0.0018;-125.5
1988;M2-1957;211;325;1.246116441;6.4035;5.995226252;0.9599;0.0016;-48.9
1988;M4-1957;211;325;0.630909323;3.8975;7.207189954;0.645;0.0027;-360.8
1988;M6-1957;211;325;1.252822445;8.0725;7.517359466;0.8181;0.0015;-189.3
1991;M2-1957;211;325;1.01310544;4.924;5.670354179;0.9684;0.0033;-40.3
1991;M4-1957;211;325;0.566407115;3.3294;6.857788152;0.7892;0.0026;-217.9
1991;M6-1957;211;325;1.13191691;7.6365;7.870939929;0.885;0.0018;-123
1999;M2-1957;211;325;1.087311765;5.4322;5.828656391;0.9209;0.0029;-87.4
1999;M4-1957;211;325;0.607815774;3.272;6.280411756;0.7007;0.0031;-305.6
1999;M6-1957;211;325;1.23430239;7.5344;7.121539585;0.8381;0.0015;-169.6
2003;M2-1957;211;325;1.041611241;5.1117;5.725408639;0.9604;0.0031;-48.3
2003;M4-1957;211;325;0.613605929;3.3218;6.315834237;0.672;0.0028;-334
2003;M6-1957;211;325;1.149425837;7.003;7.108041599;0.8682;0.0019;-139.7
2007;M2-1957;211;325;1.037319728;5.1359;5.776312907;0.9442;0.0037;-64.3
2007;M4-1957;211;325;0.653313619;3.6226;6.46912378;0.6216;0.0028;-384
2007;M6-1957;211;325;1.046328544;6.5069;7.255257804;0.8729;0.0018;-135
2011;M2-1957;211;325;0.946415973;4.7083;5.804019399;0.9395;0.003;-69
