"time","F14C"
2019.25,0.999917870773652
2019.5,1.0028201250326
2019.75,1.00258505838066
2020,1.00084771325768
2020.25,0.997826947533313
2020.5,1.00076983314041
2020.75,1.00058092131509
2021,0.998891651833187
2021.25,0.995920390885016
2021.5,0.998900329543614
2021.75,0.998753507120233
2022,0.997108078373394
2022.25,0.994181961164649
2022.5,0.997195689767198
2022.75,0.997087249418093
2023,0.995481799525895
2023.25,0.992596849155413
2023.5,0.995641392020471
2023.75,0.995567952972582
2024,0.993998960222745
2024.25,0.991151550088952
2024.5,0.994224193643671
2024.75,0.994182672914443
2025,0.992646925799618
2025.25,0.989833748744889
2025.5,0.992932018437563
2025.75,0.992919604604497
2026,0.991414174498317
2026.25,0.988632214671222
2026.5,0.991753853917451
2026.75,0.991767983198135
2027,0.990290199438044
2027.25,0.987536706634062
2027.5,0.990679657617422
2027.75,0.990717992056506
2028,0.989265419221398
2028.25,0.986537885483794
2028.5,0.989700271647645
2028.75,0.989760679225194
2029,0.988331096414508
